"","X","Value","Std.Error","DF","t.value","p.value","GeneFamily","Group","FDR","BaselineGroup","BaselineLinear"
"19","DayGroupEarly150",0.161858917679967,0.0421217257550356,172,3.8426468711486,0.000171021652727255,"1.3.1.44","Early",0.00903484695535763,0.268307264110928,0.284513079283784
"20","DayGroupEarly676",0.246220987490398,0.0640716619684489,178,3.84289996428757,0.000169008752398272,"3.2.1.165","Early",0.00903484695535763,0.745538494610831,0.754727594019817
"21","DayGroupEarly883",0.392314270276873,0.102230665381424,178,3.83754002591239,0.000172449360973631,"3.6.3.25","Early",0.00903484695535763,1.56896717206587,1.56793318171371
"22","DayGroupEarly905",0.372718299456747,0.0967455916627018,178,3.85256106300129,0.000162971020466187,"4.1.1.11","Early",0.00903484695535763,1.97916869228853,1.97613098919946
"23","DayGroupEarly1095",0.202670691715167,0.0526689140267714,178,3.84801349069303,0.000165787090853406,"5.4.3.8","Early",0.00903484695535763,0.570476920936296,0.590814793821671
"24","DayGroupEarly25",0.675286220856314,0.181521385229615,178,3.72014691272939,0.000266727687430614,"1.1.1.25","Early",0.0108381462117939,3.52878525771431,3.50689457255185
"25","DayGroupEarly226",0.833535458314841,0.220702558079377,178,3.7767367336769,0.000216427047466948,"2.1.1.13","Early",0.0108381462117939,3.04528528516459,3.12270554146793
"26","DayGroupEarly239",0.420129686096062,0.111576682416818,178,3.76538965844655,0.000225731124404205,"2.1.1.173","Early",0.0108381462117939,1.75504694265568,1.77772933259452
"27","DayGroupEarly503",8.23496044756195,2.19342696112012,178,3.7543809725748,0.000235118605042672,"2.7.13.3","Early",0.0108381462117939,53.213942482428,54.286152056813
"28","DayGroupEarly563",0.221149287468956,0.0601486344735416,172,3.67671335192549,0.000315551734779469,"2.7.7.77","Early",0.0108381462117939,0.477618485787665,0.472268868162645
